Year,Length,Title,Subject,Actor
1987,89,Business As Usual,Comedy,Thaw
1973,103,A Touch of Class,Comedy,Segal
1970,129,Women in Love.,Drama,Bates
1988,89,Salome's Last Dance,Comedy,Johns
1986,100,Casino,Mystery,Connors
1989,90,New Year's Day,Comedy,Jaglom
1981,132,Mephisto,Drama,Brandauer
1927,60,Easy Virtue,Mystery,Dyall
1937,59,Swing It Sailor!,Comedy,Ford
1991,83,Strictly Business,Comedy,Davidson
1983,90,Blame It on Rio,Comedy,Caine
1987,86,Straight to Hell,Action,Hopper
1990,131,A View to a Kill,Action,Moore
1986,100,American Anthem,Drama,Gaylord
1963,99,Bedtime Story,Comedy,Brando
1948,100,Port of Call,Drama,Eklund
1973,103,Paper Moon,Comedy,O'Neal
1983,97,Yellowbeard,Comedy,Chapman
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,Wilder
1990,108,Flashback,Comedy,Hopper
1955,67,Killer's Kiss,Mystery,Silvera
1983,97,Breathless,Action,Gere
1989,145,Born on the Fourth of July,Drama,Cruise
1991,120,Awakenings,Drama,De Niro
1977,94,Annie Hall,Comedy,Allen
1979,96,Manhattan,Comedy,Allen
1981,195,Reds,Drama,Beatty
1986,105,Crimes of the Heart,Comedy,Shepard
1977,136,Looking for Mr. Goodbar,Drama,Atherton
1975,82,Love & Death,Comedy,Allen
1973,88,Sleeper,Comedy,Allen
1970,130,Fellini Satyricon,Drama,Potter
1977,143,Black Sunday,Drama,Shaw
1977,124,Bobby Deerfield,Drama,Pacino
1972,98,Last of the Red Hot Lovers,Comedy,Arkin
1953,116,Mogambo,Action,Gable
1955,103,To Catch a Thief,Mystery,Grant
1954,113,Rear Window,Mystery,Stewart
1945,69,Woman Who Came Back,Drama,Kruger
1939,101,Stanley & Livingstone,Action,Tracy
1989,113,Lethal Weapon 2,Action,Gibson
1992,79,Blame It on the Bellboy,Comedy,Moore
1987,90,Superman IV: The Quest for Peace,Action,Reeve
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,Wilder
1989,96,Dead Calm,Mystery,Neill
1990,107,Days of Thunder,Action,Cruise
1987,101,My Life As a Dog,Comedy,Glanzelius
1984,96,Unfaithfully Yours,Comedy,Moore
1987,95,Bullseye!,Comedy,Caine
1989,104,Erik the Viking,Action,Robbins
1987,90,Dragonard,Drama,Reed
1986,90,Hard Choices,Drama,McCleery
1984,106,A Year of the Quiet Sun,Drama,Wilson
1990,98,Almost an Angel,Comedy,Hogan
1986,98,Crocodile Dundee,Comedy,Hogan
1989,119,See You in the Morning,Drama,Bridges
1989,86,Dracula's Widow,Horror,Sommer
1987,90,Ninja Masters of Death,Action,Peterson
1990,110,Mystery Train,Comedy,Nagase
1978,114,Go Tell the Spartans,War,Lancaster
1986,89,True Stories,Comedy,Goodman
1953,94,Ugetsu Monogatari,Drama,Mori
1969,80,Rebel Rousers,Action,Nicholson
1988,98,Plain Clothes,Comedy,Howard
1988,116,Running on Empty,Drama,Hirsch
1990,101,Funny about Love,Comedy,Wilder
1986,84,Stewardess School,Comedy,Most
1983,94,Rumble Fish,Drama,Dillon
1990,94,Priceless Beauty,Science Fiction,Lambert
1990,115,Men Don't Leave,Drama,Howard
1988,127,Everybody's All American,Romance,Quaid
1992,128,Cape Fear,Mystery,De Niro
1949,58,Crashing Thru,Western,Wilson
1978,109,Get Out Your Handkerchiefs,Comedy,Depardieu
1990,100,Hard To Kill,Action,Seagal
1960,109,Psycho,Horror,Perkins
1957,112,Jet Pilot,Action,Wayne
1987,95,Under Cover,Mystery,Neidorf
1951,122,A Streetcar Named Desire,Drama,Brando
1985,128,Christopher Columbus,Drama,Byrne
1989,116,In Country,Drama,Willis
1980,116,Bronco Billy,Westerns,Eastwood
1986,105,Ratboy,Drama,Townsend
1938,96,Lady Vanishes,Mystery,Redgrave
1959,88,Carlton-Browne of the F.O.,Comedy,Terry-Thomas
1929,68,Racketeer,Drama,Armstrong
1941,95,Mr. & Mrs. Smith,Comedy,Montgomery
1986,132,Alrededor de Medianoche,Drama,Francois Cluzet
1982,101,Losin' It,Comedy,Cruise
1987,114,Into the Homeland,Action,Boothe
1991,60,Boxing Babes,Action,Nichol
1991,94,Shock 'em Dead,Horror,Donahue
1960,101,Heller in Pink Tights,Drama,Quinn
1961,100,Two Women,Drama,Belmondo
1957,109,Legend of the Lost,Action,Wayne
1978,111,Brass Target,Action,Cassavetes
